Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2016-01-28 04:00 PM,2016,01,28,16,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 05:00 PM,2016,01,28,17,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 06:00 PM,2016,01,28,18,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 07:00 PM,2016,01,28,19,35.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 08:00 AM,2016,01,28,08,74.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 09:00 AM,2016,01,28,09,81.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 10:00 AM,2016,01,28,10,72.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 11:00 AM,2016,01,28,11,99.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 12:00 PM,2016,01,28,12,65.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 01:00 PM,2016,01,28,13,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 02:00 AM,2016,01,28,02,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 03:00 AM,2016,01,28,03,61.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 04:00 AM,2016,01,28,04,53.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 05:00 AM,2016,01,28,05,61.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 06:00 AM,2016,01,28,06,65.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 07:00 AM,2016,01,28,07,58.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 08:00 PM,2016,01,27,20,29.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 09:00 PM,2016,01,27,21,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 10:00 PM,2016,01,27,22,47.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 11:00 PM,2016,01,27,23,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 12:00 AM,2016,01,28,00,49.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-28 01:00 AM,2016,01,28,01,42.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 02:00 PM,2016,01,27,14,42.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 03:00 PM,2016,01,27,15,35.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 04:00 PM,2016,01,27,16,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 05:00 PM,2016,01,27,17,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 06:00 PM,2016,01,27,18,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 07:00 PM,2016,01,27,19,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 08:00 AM,2016,01,27,08,76.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 09:00 AM,2016,01,27,09,-999.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 10:00 AM,2016,01,27,10,73.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 11:00 AM,2016,01,27,11,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 12:00 PM,2016,01,27,12,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 01:00 PM,2016,01,27,13,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 02:00 AM,2016,01,27,02,112.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 03:00 AM,2016,01,27,03,130.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 04:00 AM,2016,01,27,04,143.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 05:00 AM,2016,01,27,05,120.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 06:00 AM,2016,01,27,06,109.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 07:00 AM,2016,01,27,07,91.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 08:00 PM,2016,01,26,20,36.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 09:00 PM,2016,01,26,21,39.0,UG/M3,1 Hr,Valid
