Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 12:00 AM,2016,02,10,00,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 01:00 AM,2016,02,10,01,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 02:00 AM,2016,02,10,02,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 03:00 AM,2016,02,10,03,44.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 04:00 AM,2016,02,10,04,48.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 05:00 AM,2016,02,10,05,54.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 06:00 AM,2016,02,10,06,62.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 07:00 AM,2016,02,10,07,64.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 08:00 AM,2016,02,10,08,62.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 09:00 AM,2016,02,10,09,57.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 10:00 AM,2016,02,10,10,55.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 11:00 AM,2016,02,10,11,49.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 12:00 PM,2016,02,10,12,51.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 01:00 PM,2016,02,10,13,48.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 02:00 PM,2016,02,10,14,51.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-10 03:00 PM,2016,02,10,15,36.0,UG/M3,1 Hr,Valid
