Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Kolkata,PM2.5 - Principal,2016-01-01 07:00 PM,2016,01,01,19,361.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 08:00 PM,2016,01,01,20,442.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 09:00 PM,2016,01,01,21,526.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 10:00 PM,2016,01,01,22,576.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 11:00 PM,2016,01,01,23,599.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 12:00 AM,2016,01,02,00,412.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 01:00 PM,2016,01,01,13,233.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 02:00 PM,2016,01,01,14,217.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 03:00 PM,2016,01,01,15,218.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 04:00 PM,2016,01,01,16,208.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 05:00 PM,2016,01,01,17,221.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 06:00 PM,2016,01,01,18,249.0,UG/M3,1 Hr,Valid
